Feature,number of features selected,Coefficient,StdErr,R2
const,161,78.88338131126511,452.724224257562,0.994984772132873
pop,161,0.00042219703935666335,0.0002751145929307614,0.994984772132873
NAperCap,161,1.3553098714470568e-05,7.101525713968053e-05,0.994984772132873
State_AK,161,15.305978273474494,36.07911615765858,0.994984772132873
State_AR,161,9.32626880687235,14.712741667892647,0.994984772132873
State_AZ,161,-3.0838597527324794,14.888714313748483,0.994984772132873
State_CA,161,0.24177955369805915,12.838559044366136,0.994984772132873
State_CT,161,11.389047219725782,13.378733964183054,0.994984772132873
State_DC,161,-53.74222522126456,80.8405543343314,0.994984772132873
State_DE,161,-9.100317139345549,46.81182034518372,0.994984772132873
State_FL,161,14.561211792758144,12.495979871491311,0.994984772132873
State_GA,161,13.377159187422809,14.339400121382244,0.994984772132873
State_ID,161,1.3106325524713895,20.67471873872843,0.994984772132873
State_IN,161,5.535185542376979,13.120678262059394,0.994984772132873
State_KS,161,59.829201965827366,48.88670726653817,0.994984772132873
State_KY,161,10.137759551254575,14.637558544457072,0.994984772132873
State_LA,161,20.34270390148494,16.374464758736735,0.994984772132873
State_MA,161,6.933967458304345,13.935876675568473,0.994984772132873
State_MD,161,7.612808285161464,17.48613194522417,0.994984772132873
State_ME,161,-0.1900204755095558,16.869559180482582,0.994984772132873
State_MO,161,6.221205602970798,13.331562817244093,0.994984772132873
State_MS,161,1.6145331366111861,16.274318051204844,0.994984772132873
State_NC,161,7.386833629975854,14.045349662038937,0.994984772132873
State_ND,161,2.256829583555657,20.390299971862646,0.994984772132873
State_NH,161,-4.145963677100198,15.742871602500985,0.994984772132873
State_NJ,161,6.523211267319226,12.82841697918142,0.994984772132873
State_NM,161,-1.754911762398038,18.165612179569212,0.994984772132873
State_NV,161,-0.25300451389870204,23.758364583640226,0.994984772132873
State_OH,161,1.770642858846287,12.290227913483069,0.994984772132873
State_OK,161,7.803931970469854,13.405266885268842,0.994984772132873
State_OR,161,-3.301756742941052,12.931254762610058,0.994984772132873
State_PA,161,5.463015116509311,13.086768619914027,0.994984772132873
State_RI,161,13.462712049942652,15.768321777560296,0.994984772132873
State_SC,161,15.180809173277481,15.061311400397724,0.994984772132873
State_SD,161,5.278236332819375,19.45709360957207,0.994984772132873
State_TN,161,11.215108472067897,13.809641484543334,0.994984772132873
State_TX,161,-4.148106689560251,11.652150593990413,0.994984772132873
State_UT,161,-6.233964901247958,18.09113368455219,0.994984772132873
State_VA,161,1.3052619810909079,13.879554409486031,0.994984772132873
State_VT,161,5.487396714276429,25.740229331637213,0.994984772132873
State_WA,161,-2.822407800948099,12.67375094473899,0.994984772132873
State_WI,161,4.246145537495607,13.423415444534841,0.994984772132873
State_WV,161,0.3491208633831917,17.433470401955354,0.994984772132873
State_WY,161,3.798405345996791,20.2631761737536,0.994984772132873
arsons,161,0.013147874647667618,0.02815983487225081,0.994984772132873
arsonsPerPop,161,0.020068711437531417,0.03767427281777345,0.994984772132873
asianPerCap,161,0.00011553749011150122,0.00013037600228388088,0.994984772132873
assaultPerPop,161,0.9715112649401125,0.004968330916444024,0.994984772132873
assaults,161,0.016135802981916372,0.003989940935069719,0.994984772132873
autoTheft,161,0.005105805285388426,0.0033702647093617304,0.994984772132873
autoTheftPerPop,161,-0.02863044504132814,0.0062212590603306465,0.994984772132873
blackPerCap,161,1.4526681798255822e-05,0.000138499878752062,0.994984772132873
burglPerPop,161,-0.0080114106787893,0.005290260739559058,0.994984772132873
burglaries,161,-0.0067595615036196155,0.00408165694228821,0.994984772132873
hispPerCap,161,7.678709938355215e-05,0.00026959369231783543,0.994984772132873
houseVacant,161,0.0006100407301302437,0.0008588087911894576,0.994984772132873
kidsBornNevrMarr,161,-8.894534936168888e-05,0.0010388367049940644,0.994984772132873
landArea,161,-0.0015572797545216899,0.011737039045233382,0.994984772132873
larcPerPop,161,-0.010504533896703486,0.00455404081480276,0.994984772132873
larcenies,161,0.001535802012882559,0.0013157132166073985,0.994984772132873
medFamIncome,161,0.0001233482829671971,0.0008840753905347293,0.994984772132873
medGrossRent,161,0.02653888871057361,0.05699057975089377,0.994984772132873
medIncome,161,-0.0001304764294316698,0.0008845858020535141,0.994984772132873
medNumBedrm,161,-2.5445927550543317,3.452751031179549,0.994984772132873
medOwnCostPctWO,161,-0.3881166076078344,1.2280610596551869,0.994984772132873
medOwnCostpct,161,0.2061370373040945,0.8185125082775574,0.994984772132873
medRentpctHousInc,161,-0.4414141128031428,0.6665265801730099,0.994984772132873
medYrHousBuilt,161,0.08365746967813648,0.21711696687011908,0.994984772132873
murdPerPop,161,0.7875948403115274,0.22867222899072326,0.994984772132873
murders,161,0.16299118463593487,0.18044887194185322,0.994984772132873
nonViolPerPop,161,0.01009973099170609,0.004488083983270042,0.994984772132873
numForeignBorn,161,-0.0002595909181313204,0.00012920146762419974,0.994984772132873
otherPerCap,161,6.265114689724947e-05,0.0001506929910392453,0.994984772132873
ownHousLowQ,161,-2.8947918662641705e-05,0.00013352075679421707,0.994984772132873
ownHousMed,161,1.2023909710675608e-05,0.00020064287029008976,0.994984772132873
ownHousQrange,161,7.0577524401737365e-06,4.8206598955548664e-05,0.994984772132873
ownHousUperQ,161,-2.190892033393239e-05,0.00010186301605931773,0.994984772132873
pct12-17w2Par,161,0.040564105850203536,0.28067946610689737,0.994984772132873
pct12-21,161,0.4189013849398737,1.323754630139364,0.994984772132873
pct12-29,161,-0.1519883976742057,1.4165883512579542,0.994984772132873
pct16-24,161,-0.4060267905772794,1.7835115522883718,0.994984772132873
pct2Par,161,-1.5440693631633602,1.1106703992642544,0.994984772132873
pct65up,161,-1.6660599755991683,1.2447210482414324,0.994984772132873
pctAllDivorc,161,-0.6746971184980222,2.9821901430319895,0.994984772132873
pctAsian,161,-0.49207643542227864,0.6257639180051269,0.994984772132873
pctBlack,161,-0.47987991236741756,0.4343697684842668,0.994984772132873
pctBornStateResid,161,-0.014715266228154444,0.2190786591433365,0.994984772132873
pctCollGrad,161,0.002688890598190108,0.4689266682417401,0.994984772132873
pctEmploy,161,0.058932139189095345,0.5587709968483716,0.994984772132873
pctEmployMfg,161,0.14824703653241977,0.2986648643222816,0.994984772132873
pctEmployProfServ,161,-0.03099525115043411,0.3928008488709685,0.994984772132873
pctFemDivorc,161,-1.7609588561694984,1.9216796143083978,0.994984772132873
pctFgnImmig-10,161,-0.53702378138838,0.2504023052222595,0.994984772132873
pctFgnImmig-3,161,-0.19051099596770515,0.2913875644585379,0.994984772132873
pctFgnImmig-5,161,-0.020815139075953448,0.3537862003635413,0.994984772132873
pctFgnImmig-8,161,0.4834263014104332,0.3554495461670159,0.994984772132873
pctForeignBorn,161,-0.19478076815156653,0.8040622785780003,0.994984772132873
pctHisp,161,0.2046119791042056,0.4006222546399572,0.994984772132873
pctHousOccup,161,0.10431278665728683,0.3610051510083373,0.994984772132873
pctHousOwnerOccup,161,0.13517185174343282,0.800923206691598,0.994984772132873
pctHousWOphone,161,-0.7769039401100213,0.7966199226104329,0.994984772132873
pctHousWOplumb,161,-6.996407514113704,3.5083202740406487,0.994984772132873
pctImmig-10,161,4.021776493405496,2.5296864240603334,0.994984772132873
pctImmig-3,161,3.9149902587640844,3.321698640128607,0.994984772132873
pctImmig-5,161,-6.373191678767789,3.3689051448437253,0.994984772132873
pctImmig-8,161,-0.47480487948939043,3.212862726728391,0.994984772132873
pctKids-4w2Par,161,-0.14657748875945487,0.31294183679060994,0.994984772132873
pctKids2Par,161,0.8297926316336213,0.963070577960016,0.994984772132873
pctKidsBornNevrMarr,161,-2.2878690371776127,1.305220636708486,0.994984772132873
pctLargHous,161,1.492941111256176,2.327043706798666,0.994984772132873
pctLargHousFam,161,-0.7275429474052544,2.096015046574683,0.994984772132873
pctLowEdu,161,1.1923275152901036,0.8714681277683928,0.994984772132873
pctMaleDivorc,161,2.3206867980046333,1.8932538452948304,0.994984772132873
pctMaleNevMar,161,0.13712735545896182,0.5355929430130683,0.994984772132873
pctNotHSgrad,161,-0.6142611463646439,0.6944938074969361,0.994984772132873
pctNotSpeakEng,161,-1.9192605224524488,1.2980199409016169,0.994984772132873
pctOccupManu,161,0.373039952278325,0.6174875001430152,0.994984772132873
pctOccupMgmt,161,0.32701267367023235,0.597304515665247,0.994984772132873
pctOfficDrugUnit,161,0.15060926416731668,0.4368117892671377,0.994984772132873
pctPersOwnOccup,161,-0.30225561395261735,0.840736855658219,0.994984772132873
pctPopDenseHous,161,-0.21789708576565125,0.9518994702147766,0.994984772132873
pctPoverty,161,0.23956687389099462,0.6433101683263948,0.994984772132873
pctPubAsst,161,-0.9565704311425176,0.8430160429966838,0.994984772132873
pctRetire,161,0.20511506365550103,0.49601113966012167,0.994984772132873
pctSameCounty-5,161,-0.1711447838092962,0.268509925609271,0.994984772132873
pctSameHouse-5,161,-0.0906504774577831,0.36355034839260103,0.994984772132873
pctSameState-5,161,0.2521244540465317,0.4765243795112864,0.994984772132873
pctSmallHousUnits,161,-0.08867638187590465,0.2608490752789363,0.994984772132873
pctSpeakOnlyEng,161,-0.2826678802168072,0.4630046085678124,0.994984772132873
pctUnemploy,161,0.02071726760785353,1.0405074008548112,0.994984772132873
pctUrban,161,0.10944643080402566,0.064308504783766,0.994984772132873
pctUsePubTrans,161,0.471429337393098,0.41172541340757374,0.994984772132873
pctVacant6up,161,-0.13385866999830998,0.12502380267992533,0.994984772132873
pctVacantBoarded,161,0.8018256028165318,0.47752416295896755,0.994984772132873
pctWdiv,161,-0.6133634432860523,0.4199905703460429,0.994984772132873
pctWfarm,161,-0.7599379244291029,2.0548067369792062,0.994984772132873
pctWhite,161,-0.4682424816266524,0.3963253440887074,0.994984772132873
pctWorkMom-18,161,-0.035897420381886036,0.5087939440402446,0.994984772132873
pctWorkMom-6,161,0.06975616431256482,0.35372827216403147,0.994984772132873
pctWsocsec,161,0.30228241742812845,0.7734480279708438,0.994984772132873
pctWwage,161,-0.7826350992192141,0.7740084048477405,0.994984772132873
perCapInc,161,0.0002316678356347815,0.002170141748783071,0.994984772132873
perHoush,161,0.1851051785649105,6.196221376883088,0.994984772132873
persEmergShelt,161,-0.005797459289719031,0.011525480049164616,0.994984772132873
persHomeless,161,0.012881359436356737,0.02263157093699133,0.994984772132873
persPerFam,161,0.237680300103845,3.6561230500803505,0.994984772132873
persPerOccupHous,161,-0.6964583042246062,7.710700849994736,0.994984772132873
persPerOwnOccup,161,-1.5432409066798165,4.886409861823603,0.994984772132873
persPerRenterOccup,161,0.20598475359185286,4.004578444700176,0.994984772132873
persPoverty,161,-0.00015318832735321426,0.0004277473888030122,0.994984772132873
persUrban,161,-0.0004492787614345196,0.0002700928327775773,0.994984772132873
popDensity,161,-0.000262025398354398,0.00073138412246927,0.994984772132873
rapes,161,-0.08336594891432117,0.05449320334071066,0.994984772132873
rapesPerPop,161,1.0992807237002555,0.05048136769426009,0.994984772132873
rentLowQ,161,0.017606261672714806,0.028726368177669628,0.994984772132873
rentMed,161,-0.043227361592591926,0.06400555242912667,0.994984772132873
rentQrange,161,0.003835568666445334,0.01529399109402417,0.994984772132873
rentUpperQ,161,0.02144183032344312,0.02931648920996256,0.994984772132873
robbbPerPop,161,1.040655276396234,0.013702811109871224,0.994984772132873
robberies,161,-0.010869908894976098,0.007000251572005751,0.994984772132873
