Feature,number of features selected,Coefficient,StdErr,R2,MSE
PctPopUnderPov,78,-0.13920054956633685,0.04037065309358747,0.49429509947632944,0.03115997516439563
PctRecImmig10,78,0.03940657742036923,0.07636505237596539,0.49429509947632944,0.03115997516439563
PctRecImmig8,78,0.008963562899595342,0.06982453479653608,0.49429509947632944,0.03115997516439563
PctUnemployed,78,0.08692316798510102,0.03847229939395642,0.49429509947632944,0.03115997516439563
PctUsePubTrans,78,0.0011885486867081615,0.030839300233662558,0.49429509947632944,0.03115997516439563
PctVacantBoarded,78,0.1012322805192114,0.02996395996954387,0.49429509947632944,0.03115997516439563
PctYoungKids2Par,78,-0.08593111374502656,0.061104416013677554,0.49429509947632944,0.03115997516439563
PersPerOccupHous,78,-0.09719179090235587,0.08770863440254636,0.49429509947632944,0.03115997516439563
PersPerOwnOccHous,78,-0.0027794126726172113,0.07905196478557805,0.49429509947632944,0.03115997516439563
PopDens,78,0.17685855517656862,0.03561964372947076,0.49429509947632944,0.03115997516439563
RentHighQ,78,-0.07213786748974746,0.025641017676164293,0.49429509947632944,0.03115997516439563
agePct12t29,78,-0.04482935540524835,0.0699433395515168,0.49429509947632944,0.03115997516439563
agePct16t24,78,0.007901829309814095,0.0666832205343193,0.49429509947632944,0.03115997516439563
agePct65up,78,-0.05320490645059376,0.04166244429925487,0.49429509947632944,0.03115997516439563
householdsize,78,-0.025951984280841642,0.04710569109881891,0.49429509947632944,0.03115997516439563
indianPerCap,78,-0.05710737834693576,0.03826596145369007,0.49429509947632944,0.03115997516439563
medFamInc,78,0.07218394191979371,0.048572583587968815,0.49429509947632944,0.03115997516439563
numbUrban,78,-0.166210886963727,0.07779778999598136,0.49429509947632944,0.03115997516439563
pctUrban,78,0.0004417570046264758,0.00880535905139091,0.49429509947632944,0.03115997516439563
pctWFarmSelf,78,-0.039487264779917305,0.028206100210026498,0.49429509947632944,0.03115997516439563
pctWPubAsst,78,0.16734370684311672,0.0365764632936817,0.49429509947632944,0.03115997516439563
pctWRetire,78,-0.07820324123183037,0.04685824141287898,0.49429509947632944,0.03115997516439563
racePctAsian,78,-0.09193091232812907,0.027845931017299444,0.49429509947632944,0.03115997516439563
racePctWhite,78,-0.05898496762509781,0.049803130079809264,0.49429509947632944,0.03115997516439563
racepctblack,78,0.17025675610484847,0.02918836695980481,0.49429509947632944,0.03115997516439563
state_abbr_AL,78,0.16270259243499108,0.028007141139254378,0.49429509947632944,0.03115997516439563
state_abbr_AR,78,0.0891261300113356,0.035372141489325166,0.49429509947632944,0.03115997516439563
state_abbr_CA,78,0.11122625445187788,0.015877291101545475,0.49429509947632944,0.03115997516439563
state_abbr_CO,78,0.0005172722200619864,0.03530961266318115,0.49429509947632944,0.03115997516439563
state_abbr_CT,78,-0.07253832509860432,0.022742372331478515,0.49429509947632944,0.03115997516439563
state_abbr_FL,78,0.2644519696869101,0.02200905859447342,0.49429509947632944,0.03115997516439563
state_abbr_GA,78,0.1163490288313005,0.030196024843244636,0.49429509947632944,0.03115997516439563
state_abbr_KY,78,0.11093811536233479,0.03474499482430107,0.49429509947632944,0.03115997516439563
state_abbr_LA,78,0.2165299453578787,0.039328252817656485,0.49429509947632944,0.03115997516439563
state_abbr_MD,78,0.2232996895306641,0.05058719384556008,0.49429509947632944,0.03115997516439563
