Feature,number of features selected,Coefficient,StdErr,R2,MSE
PopDens,89,0.17913694047289852,0.03734502946615999,0.4903148111469724,0.0363792655484411
RentHighQ,89,-0.07359233898360967,0.025866776793580484,0.4903148111469724,0.0363792655484411
agePct12t29,89,-0.043033607205860885,0.07061819275801853,0.4903148111469724,0.0363792655484411
agePct16t24,89,0.006030716023754813,0.06732043488559729,0.4903148111469724,0.0363792655484411
agePct65up,89,-0.05213743601023205,0.0419659757701883,0.4903148111469724,0.0363792655484411
blackPerCap,89,-0.01653416990082532,0.04210992427819996,0.4903148111469724,0.0363792655484411
householdsize,89,-0.0349022291334314,0.047992834517249554,0.4903148111469724,0.0363792655484411
indianPerCap,89,-0.04462853464336296,0.03872975577878336,0.4903148111469724,0.0363792655484411
medFamInc,89,0.08417160929068465,0.049667233461968795,0.4903148111469724,0.0363792655484411
numbUrban,89,-0.15917799318658887,0.07874965500655498,0.4903148111469724,0.0363792655484411
pctUrban,89,0.0008358849142965583,0.008890815167327244,0.4903148111469724,0.0363792655484411
pctWFarmSelf,89,-0.03647476595922316,0.029488738642288286,0.4903148111469724,0.0363792655484411
pctWInvInc,89,-0.1813721121335315,0.10461964994049223,0.4903148111469724,0.0363792655484411
pctWPubAsst,89,0.16799917895901378,0.03686249114245816,0.4903148111469724,0.0363792655484411
pctWRetire,89,-0.08445135460820034,0.04719518466971209,0.4903148111469724,0.0363792655484411
racePctAsian,89,-0.09259921693170485,0.028130469698439083,0.4903148111469724,0.0363792655484411
racePctWhite,89,-0.05727023774076687,0.050315644965200815,0.4903148111469724,0.0363792655484411
racepctblack,89,0.18404137806393106,0.029656199857844963,0.4903148111469724,0.0363792655484411
state_abbr_AR,89,0.032471698439555385,0.03690895888413994,0.4903148111469724,0.0363792655484411
state_abbr_AZ,89,-0.05792642558256583,0.04112783375812587,0.4903148111469724,0.0363792655484411
state_abbr_CA,89,0.05901097679480817,0.018265757885098315,0.4903148111469724,0.0363792655484411
state_abbr_CT,89,-0.12756971917984863,0.024713585030956216,0.4903148111469724,0.0363792655484411
state_abbr_FL,89,0.2098058868700542,0.02401455892926535,0.4903148111469724,0.0363792655484411
state_abbr_GA,89,0.05778985275195453,0.03172221206126315,0.4903148111469724,0.0363792655484411
state_abbr_IA,89,-0.06239753967676424,0.04044469160583605,0.4903148111469724,0.0363792655484411
state_abbr_ID,89,-0.08483852159335682,0.06736170369387857,0.4903148111469724,0.0363792655484411
state_abbr_IN,89,-0.055051532166597944,0.028113200016217563,0.4903148111469724,0.0363792655484411
state_abbr_KY,89,0.057242701797449114,0.036198344591890134,0.4903148111469724,0.0363792655484411
state_abbr_LA,89,0.1592355212071731,0.0405993132901283,0.4903148111469724,0.0363792655484411
state_abbr_MA,89,-0.043503664540364986,0.020538744771137856,0.4903148111469724,0.0363792655484411
state_abbr_MD,89,0.16917024151244367,0.05172343318528041,0.4903148111469724,0.0363792655484411
state_abbr_ME,89,-0.15094619004166593,0.04358528880210504,0.4903148111469724,0.0363792655484411
state_abbr_MO,89,-0.056071843300459646,0.029585962753218023,0.4903148111469724,0.0363792655484411
state_abbr_MS,89,-0.06804423168577312,0.04215533560081162,0.4903148111469724,0.0363792655484411
