Feature,number of features selected,Coefficient,StdErr,R2
const,85,0.001130982565343651,1.9647178145571018e-05,0.9948742284636038
pop,85,0.0004800462236461472,0.0002653205988050326,0.9948742284636038
NAperCap,85,1.9033401827210075e-06,6.941919699319432e-05,0.9948742284636038
arsons,85,0.009353054350677653,0.02733868337819985,0.9948742284636038
arsonsPerPop,85,0.008957719218041449,0.036144061018509435,0.9948742284636038
asianPerCap,85,9.288319276601142e-05,0.00012417761903477307,0.9948742284636038
assaultPerPop,85,0.9748378081160908,0.004504996924971325,0.9948742284636038
assaults,85,0.01577261727867789,0.0037690441514973824,0.9948742284636038
autoTheft,85,0.005016078957958615,0.003218910405016186,0.9948742284636038
autoTheftPerPop,85,-0.023611685172964372,0.005808967663136378,0.9948742284636038
blackPerCap,85,-1.0123219211129728e-05,0.0001326378715727683,0.9948742284636038
burglPerPop,85,-0.005329148297530006,0.004898604493748886,0.9948742284636038
burglaries,85,-0.007168966260173257,0.003929304147504895,0.9948742284636038
hispPerCap,85,0.00012841348519652311,0.0002542582747594761,0.9948742284636038
houseVacant,85,0.0007804809676042234,0.0008032158593543015,0.9948742284636038
kidsBornNevrMarr,85,-0.0007093030439844945,0.0009663569000414956,0.9948742284636038
landArea,85,-0.003075081002842664,0.00986966854515485,0.9948742284636038
larcPerPop,85,-0.008415108976415744,0.004158232637371465,0.9948742284636038
larcenies,85,0.0011833950877166606,0.001259193764837259,0.9948742284636038
medFamIncome,85,0.000192579215455721,0.0007407322383713922,0.9948742284636038
medGrossRent,85,0.03789317324385352,0.050765896064173796,0.9948742284636038
medIncome,85,-0.00018147777035704788,0.0007368251632347105,0.9948742284636038
medRentpctHousInc,85,-0.4819996225312462,0.6771719995046203,0.9948742284636038
murdPerPop,85,0.7909672869124611,0.21900163918288873,0.9948742284636038
murders,85,0.1577653505624017,0.14494636742449593,0.9948742284636038
nonViolPerPop,85,0.008118503359090312,0.0040966508968471186,0.9948742284636038
numForeignBorn,85,-0.0002968176481871077,0.0001244942500242908,0.9948742284636038
otherPerCap,85,6.953799912106752e-05,0.00014465403555364326,0.9948742284636038
ownHousLowQ,85,0.35814205469360705,0.006212059102070321,0.9948742284636038
ownHousMed,85,-1.6670185639491505e-05,0.00019184723788289836,0.9948742284636038
ownHousQrange,85,0.3581535302513722,0.006223897715738978,0.9948742284636038
ownHousUperQ,85,-0.358137852140178,0.0062309893966982525,0.9948742284636038
pct12-29,85,-0.24467091301645194,0.4891080118423945,0.9948742284636038
pct2Par,85,-1.0188807443754084,1.012186284944797,0.9948742284636038
pctAsian,85,0.28567376862491844,0.5261263614824906,0.9948742284636038
pctBlack,85,-0.3589722935524542,0.36402980980884525,0.9948742284636038
pctBornStateResid,85,-0.028587994710944503,0.15115756203009215,0.9948742284636038
pctEmploy,85,-0.09319883267410756,0.4521596871181359,0.9948742284636038
pctEmployMfg,85,0.010555781009872867,0.2576556750585473,0.9948742284636038
pctFemDivorc,85,-0.6847107573200137,0.9891133524510477,0.9948742284636038
pctFgnImmig-10,85,-0.3907015434804999,0.23218277579451035,0.9948742284636038
pctFgnImmig-3,85,-0.2575291926646276,0.20973187050140163,0.9948742284636038
pctFgnImmig-8,85,0.330450309171049,0.2867778037394144,0.9948742284636038
pctHisp,85,0.1449208940505744,0.32171528250542347,0.9948742284636038
pctHousOccup,85,0.15432426536953192,0.32295048870133,0.9948742284636038
pctHousOwnerOccup,85,-0.04355624529879476,0.24181959453918947,0.9948742284636038
pctHousWOphone,85,-0.8670901982311827,0.6900866820528075,0.9948742284636038
pctImmig-10,85,0.0816284461510417,0.732211013166779,0.9948742284636038
pctKids-4w2Par,85,-0.1645385296765598,0.3023167747264209,0.9948742284636038
pctKids2Par,85,0.5197381775862073,0.8908724346365678,0.9948742284636038
pctLowEdu,85,0.9050228461609233,0.6833204898035744,0.9948742284636038
pctNotHSgrad,85,-0.3946898792349751,0.541270057114571,0.9948742284636038
pctOccupManu,85,0.34672759079738125,0.5009283184808514,0.9948742284636038
pctOfficDrugUnit,85,0.3218059508502067,0.42110636563940484,0.9948742284636038
pctPoverty,85,0.3927837984160951,0.5371587031945125,0.9948742284636038
