Feature,number of features selected,Coefficient,StdErr,R2
const,10,4393.161929390098,1711.6710272175303,0.055644595802621266
treat,10,1691.3913190806782,638.6723552168,0.055644595802621266
age,10,58.06169205686656,47.892274406797206,0.055644595802621266
black_0.0,10,2170.496770411117,1168.659830602564,0.055644595802621266
educ,10,511.32409570773626,269.72677966983474,0.055644595802621266
hisp_0.0,10,-140.33526984262332,1547.209982597156,0.055644595802621266
married_0.0,10,114.57283003883927,877.964861150629,0.055644595802621266
nodegr_0.0,10,93.77560996157825,967.5084058035245,0.055644595802621266
re74,10,0.08200876121744052,0.07736788139188691,0.055644595802621266
re75,10,0.051561721909421245,0.13543432961122231,0.055644595802621266
