Feature,number of features selected,Coefficient,StdErr,R2
const,12,4086.1232481059137,1739.4109107378777,0.058222078183817305
treat,12,1670.7142543063724,641.1320177552226,0.058222078183817305
age,12,53.57093501844303,45.806231564542024,0.058222078183817305
black_0.0,12,2037.3319768475517,1173.7158933857395,0.058222078183817305
educ,12,400.77219728846853,228.82152679790104,0.058222078183817305
hisp_0.0,12,-425.8314364296849,1564.5519791117372,0.058222078183817305
married_0.0,12,146.3396363781824,882.256618160044,0.058222078183817305
nodegr_0.0,12,15.172038465543395,1005.88396793336,0.058222078183817305
re74,12,0.12340538724807704,0.08784079765084518,0.058222078183817305
re75,12,0.019743250252141468,0.1502775809701477,0.058222078183817305
u74,12,1380.2704637781844,1187.8962965173218,0.058222078183817305
u75,12,-1071.2209206501102,1024.8474275686406,0.058222078183817305
