Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,8,5050.833441736858,1577.512183564302,0.042040180080020195,53712231.538801715
treat,8,1626.014674433774,642.0293868701963,0.042040180080020195,53712231.538801715
age,8,47.560600871942114,44.82479317349805,0.042040180080020195,53712231.538801715
hisp_0.0,8,-1914.3106775447993,1112.1245796887401,0.042040180080020195,53712231.538801715
nodegr_0.0,8,1328.976625296805,775.5619186387471,0.042040180080020195,53712231.538801715
re74,8,0.06329682443180452,0.07828649322935394,0.042040180080020195,53712231.538801715
re75,8,0.03769493772985741,0.14686299899388605,0.042040180080020195,53712231.538801715
u75,8,-555.57695861837,834.1940969438685,0.042040180080020195,53712231.538801715
