Feature,number of features selected,Coefficient,StdErr,R2
const,10,2379.0832078060744,690.8202420017167,0.04204018008001942
treat,10,1626.0146744338565,642.02938687023,0.04204018008001942
age,10,47.560600871941624,44.824793173498286,0.04204018008001942
hisp_0.0,10,232.38626513068942,569.7665662686163,0.04204018008001942
hisp_1.0,10,2146.696942675383,729.6525911117234,0.04204018008001942
nodegr_0.0,10,1854.0299165513957,581.3227975444206,0.04204018008001942
nodegr_1.0,10,525.0532912546787,448.807590461764,0.04204018008001942
re74,10,0.06329682443185501,0.07828649322936578,0.04204018008001942
re75,10,0.037694937729711116,0.14686299899387215,0.04204018008001942
u75,10,-555.5769586183682,834.1940969438679,0.04204018008001942
