Feature,number of features selected,Coefficient,StdErr,R2,MSE
const,54,0.19184276267300177,0.016101952474715506,0.19941030245689406,0.04221991884391193
population,54,0.7478899475055866,0.0572080225010696,0.19941030245689406,0.04221991884391193
0,54,-0.002408666420621271,0.0002939391976603988,0.19941030245689406,0.04221991884391193
11,54,0.02907096865642465,0.010204436293944118,0.19941030245689406,0.04221991884391193
71,54,-0.18922735294788484,0.062042862064966474,0.19941030245689406,0.04221991884391193
216,54,1.309476140460906e-05,2.460449141522539e-05,0.19941030245689406,0.04221991884391193
217,54,-0.00026499360346511007,0.0023687454762327926,0.19941030245689406,0.04221991884391193
221,54,4.332915441810372e-05,0.0014038590357212302,0.19941030245689406,0.04221991884391193
222,54,-0.0021850313887126958,0.0018140098572958763,0.19941030245689406,0.04221991884391193
228,54,0.001791384793741551,0.0026576923154831623,0.19941030245689406,0.04221991884391193
229,54,0.001331864408431099,0.0021333329845034765,0.19941030245689406,0.04221991884391193
230,54,-0.0005505455267360815,0.0008129668579649177,0.19941030245689406,0.04221991884391193
231,54,-0.0015127694502271745,0.002667048346855532,0.19941030245689406,0.04221991884391193
233,54,3.627507132397071e-05,0.00184116603310989,0.19941030245689406,0.04221991884391193
238,54,-0.002703556790490851,0.001145562171753532,0.19941030245689406,0.04221991884391193
241,54,-0.0015511110159091976,0.0009016026113512824,0.19941030245689406,0.04221991884391193
242,54,0.0005339386140225275,0.001134844359918804,0.19941030245689406,0.04221991884391193
243,54,-0.0017712392151447527,0.0021777814272252683,0.19941030245689406,0.04221991884391193
245,54,-0.001450556332562784,0.0016247691070253628,0.19941030245689406,0.04221991884391193
250,54,-0.00023583995675533823,0.0010062607360041664,0.19941030245689406,0.04221991884391193
253,54,0.0007125521954675021,0.0018435473141833103,0.19941030245689406,0.04221991884391193
254,54,0.0009974791113714363,0.0017431883101495676,0.19941030245689406,0.04221991884391193
260,54,-0.0008143574790586326,0.0020208789966905134,0.19941030245689406,0.04221991884391193
263,54,0.0003860637040069022,0.0021260947248585606,0.19941030245689406,0.04221991884391193
264,54,-0.00042531433576817833,0.0022597533575531097,0.19941030245689406,0.04221991884391193
270,54,-0.005183450445334738,0.002264946548354173,0.19941030245689406,0.04221991884391193
271,54,0.004453677701964716,0.002329814889037546,0.19941030245689406,0.04221991884391193
273,54,0.004851371333281871,0.0016071612126961384,0.19941030245689406,0.04221991884391193
281,54,0.0018038543042900308,0.0027624685283873106,0.19941030245689406,0.04221991884391193
285,54,-0.0013846393870674898,0.002062850710161742,0.19941030245689406,0.04221991884391193
286,54,-0.0008503971422458004,0.0008746899446412712,0.19941030245689406,0.04221991884391193
288,54,-0.00033366808896359795,0.001219245575215703,0.19941030245689406,0.04221991884391193
290,54,-0.00020967205327772877,0.000998701086893412,0.19941030245689406,0.04221991884391193
291,54,0.001774108890408017,0.0010420886117269124,0.19941030245689406,0.04221991884391193
292,54,-0.0010785646151915248,0.0011354791807042506,0.19941030245689406,0.04221991884391193
293,54,-0.00043794827001601293,0.0014785375120126697,0.19941030245689406,0.04221991884391193
294,54,-0.0002764560047435043,0.0009425502337864685,0.19941030245689406,0.04221991884391193
302,54,0.0016094730765936313,0.0012394164091517389,0.19941030245689406,0.04221991884391193
303,54,-0.0016425562656649103,0.0015702238002993482,0.19941030245689406,0.04221991884391193
304,54,0.00013711800759544588,0.0011204887466282234,0.19941030245689406,0.04221991884391193
306,54,-0.0018368871724745457,0.0025233565597723114,0.19941030245689406,0.04221991884391193
308,54,0.0032319648347754926,0.001739874071648457,0.19941030245689406,0.04221991884391193
310,54,-0.0028643714858566072,0.0015427172615138493,0.19941030245689406,0.04221991884391193
311,54,0.00037199225741544695,0.001797435557173082,0.19941030245689406,0.04221991884391193
312,54,0.0027781617479969655,0.002110829105229335,0.19941030245689406,0.04221991884391193
313,54,-0.001974982729611224,0.001360728252293438,0.19941030245689406,0.04221991884391193
316,54,0.0005381687149462029,0.0005403061073844897,0.19941030245689406,0.04221991884391193
317,54,0.0004550422049664541,0.0005648002367062035,0.19941030245689406,0.04221991884391193
318,54,0.0010473752743695467,0.0005626323202817678,0.19941030245689406,0.04221991884391193
319,54,0.0007082587295645144,0.0005850107648903365,0.19941030245689406,0.04221991884391193
320,54,0.0008916729152594357,0.0005740191659108282,0.19941030245689406,0.04221991884391193
321,54,0.0003792065705695373,0.0005594472948356977,0.19941030245689406,0.04221991884391193
322,54,0.0012139103240106997,0.0005679670349059597,0.19941030245689406,0.04221991884391193
323,54,0.00013361590093354442,0.0005776933020423759,0.19941030245689406,0.04221991884391193
