,number of features selected,Coefficient,StdErr,R2,MSE
const,1904,0.1961110907068836,0.006547620996184594,0.21413138590067504,0.04349451446025928
population,1904,0.64329578843152,0.03870115738349153,0.21413138590067504,0.04349451446025928
0,1904,-0.00276905983856176,0.0003087431958770667,0.21413138590067504,0.04349451446025928
1,1904,1.767998830783018e-14,1.0753695193640825e-15,0.21413138590067504,0.04349451446025928
2,1904,1.8970291173679124e-14,1.1529854943566049e-15,0.21413138590067504,0.04349451446025928
3,1904,-2.2072274858849587e-14,1.3408070908594173e-15,0.21413138590067504,0.04349451446025928
4,1904,4.534444586199489e-14,2.7356521326296037e-15,0.21413138590067504,0.04349451446025928
5,1904,2.855710190603557e-14,1.7448091998826368e-15,0.21413138590067504,0.04349451446025928
6,1904,1.203817757251269e-13,7.234006964150946e-15,0.21413138590067504,0.04349451446025928
7,1904,-5.259201795157905e-14,3.2401551525798795e-15,0.21413138590067504,0.04349451446025928
8,1904,-3.713579646395985e-14,2.3941681187268775e-15,0.21413138590067504,0.04349451446025928
9,1904,-2.127816171770002e-15,5.785401190200202e-16,0.21413138590067504,0.04349451446025928
10,1904,1.1471600412974043e-15,2.457340987471098e-16,0.21413138590067504,0.04349451446025928
11,1904,1.0025168517553428e-13,6.10254562197377e-15,0.21413138590067504,0.04349451446025928
12,1904,-1.7016317254941644e-14,1.1140991367362261e-15,0.21413138590067504,0.04349451446025928
13,1904,6.135392702660138e-15,4.074868364577236e-16,0.21413138590067504,0.04349451446025928
14,1904,3.802113037030395e-15,2.310184131153117e-16,0.21413138590067504,0.04349451446025928
15,1904,-7.479542695335991e-15,4.501587297640678e-16,0.21413138590067504,0.04349451446025928
16,1904,2.2834359464154565e-15,1.8244252268314974e-16,0.21413138590067504,0.04349451446025928
17,1904,6.145009733611354e-15,3.6704809459924467e-16,0.21413138590067504,0.04349451446025928
18,1904,7.803913107913688e-15,4.727122459159625e-16,0.21413138590067504,0.04349451446025928
19,1904,-4.035153084262599e-16,2.986474576143021e-17,0.21413138590067504,0.04349451446025928
20,1904,2.4845427201719703e-15,1.4950707116274012e-16,0.21413138590067504,0.04349451446025928
21,1904,5.037398307546979e-15,3.073832703526877e-16,0.21413138590067504,0.04349451446025928
22,1904,-7.83369718479493e-16,7.202848446215174e-17,0.21413138590067504,0.04349451446025928
23,1904,6.819875348530598e-16,4.315920910857667e-17,0.21413138590067504,0.04349451446025928
24,1904,3.256745683480993e-15,1.988764426788934e-16,0.21413138590067504,0.04349451446025928
25,1904,2.765826663619506e-16,2.0403822085137034e-17,0.21413138590067504,0.04349451446025928
26,1904,1.0702195631909717e-15,7.740975319198784e-17,0.21413138590067504,0.04349451446025928
27,1904,-5.038594597829031e-15,3.109297755539794e-16,0.21413138590067504,0.04349451446025928
28,1904,1.1919985414472457e-15,7.396822149670101e-17,0.21413138590067504,0.04349451446025928
29,1904,2.564305916855325e-16,3.163978046575549e-17,0.21413138590067504,0.04349451446025928
30,1904,5.023280074713442e-16,3.381686682768734e-17,0.21413138590067504,0.04349451446025928
31,1904,4.522635900765704e-16,3.963890236244363e-17,0.21413138590067504,0.04349451446025928
32,1904,-1.0406543769257933e-15,6.484202686320211e-17,0.21413138590067504,0.04349451446025928
33,1904,1.0737226127551437e-17,9.117542355099203e-18,0.21413138590067504,0.04349451446025928
34,1904,-8.56285762616262e-16,5.653827919175896e-17,0.21413138590067504,0.04349451446025928
35,1904,9.514408485630086e-16,5.960270410037593e-17,0.21413138590067504,0.04349451446025928
36,1904,-3.6851680070393027e-16,2.6953836386371228e-17,0.21413138590067504,0.04349451446025928
37,1904,-4.03439754121587e-17,7.555871321543474e-18,0.21413138590067504,0.04349451446025928
38,1904,-2.874646773841563e-16,1.8579913222510503e-17,0.21413138590067504,0.04349451446025928
39,1904,-5.479132917653829e-16,3.6012479316630686e-17,0.21413138590067504,0.04349451446025928
40,1904,-1.025700487776528e-16,7.480054012535701e-18,0.21413138590067504,0.04349451446025928
41,1904,1.2136036225462235e-15,8.468167698100537e-17,0.21413138590067504,0.04349451446025928
42,1904,7.435663739781809e-17,8.617640634546571e-18,0.21413138590067504,0.04349451446025928
43,1904,2.733213004757018e-16,2.1577553554556858e-17,0.21413138590067504,0.04349451446025928
44,1904,-4.61688346042955e-16,3.4274130202977543e-17,0.21413138590067504,0.04349451446025928
45,1904,4.740740966047336e-16,3.5357376532386363e-17,0.21413138590067504,0.04349451446025928
46,1904,-2.491533393096587e-16,1.9768690513196658e-17,0.21413138590067504,0.04349451446025928
47,1904,-1.7577470057952048e-16,1.438243168867609e-17,0.21413138590067504,0.04349451446025928
48,1904,-2.248163455482491e-16,1.915003730090724e-17,0.21413138590067504,0.04349451446025928
49,1904,1.7538015458257906e-16,1.647324826503285e-17,0.21413138590067504,0.04349451446025928
