,number of features selected,Coefficient,StdErr,R2,MSE
const,2303,0.20044836317156667,0.01448571876579175,0.22057649126697887,0.04584850864574831
population,2303,0.6361093803694942,0.038363837968050526,0.22057649126697887,0.04584850864574831
0,2303,-0.0026089166817607826,0.0003073197689597847,0.22057649126697887,0.04584850864574831
1,2303,-1.0079437203654235e-13,5.6772324936487165e-15,0.22057649126697887,0.04584850864574831
2,2303,-5.08558067634967e-14,2.8768967742100146e-15,0.22057649126697887,0.04584850864574831
3,2303,-2.2790957433431324e-14,1.2893880353516878e-15,0.22057649126697887,0.04584850864574831
4,2303,2.6224766316781133e-14,1.4770737744680828e-15,0.22057649126697887,0.04584850864574831
5,2303,3.4822016324870844e-14,1.9524551868286086e-15,0.22057649126697887,0.04584850864574831
6,2303,2.1808552579103923e-14,1.2015657332594473e-15,0.22057649126697887,0.04584850864574831
7,2303,4.4556151907956814e-14,2.50808156725428e-15,0.22057649126697887,0.04584850864574831
8,2303,-6.084400679128964e-15,3.569183710314763e-16,0.22057649126697887,0.04584850864574831
9,2303,2.1914169630510112e-14,1.2356707799939426e-15,0.22057649126697887,0.04584850864574831
10,2303,1.268959592974607e-16,1.2889070613158124e-16,0.22057649126697887,0.04584850864574831
11,2303,3.803824695680013e-14,2.1549815156436587e-15,0.22057649126697887,0.04584850864574831
12,2303,-1.518431226948436e-16,3.064294187635182e-17,0.22057649126697887,0.04584850864574831
13,2303,6.604895903690443e-15,3.7502057246941736e-16,0.22057649126697887,0.04584850864574831
14,2303,-3.652486497396863e-15,1.950935388382623e-16,0.22057649126697887,0.04584850864574831
15,2303,1.7609869594688592e-14,9.874371250903627e-16,0.22057649126697887,0.04584850864574831
16,2303,-1.6565235753550994e-14,9.1849053665326e-16,0.22057649126697887,0.04584850864574831
17,2303,-1.7320469394185934e-14,9.712806881591007e-16,0.22057649126697887,0.04584850864574831
18,2303,-1.3464859214838927e-14,8.593096924856154e-16,0.22057649126697887,0.04584850864574831
19,2303,-1.2742236559263719e-14,7.393701362887089e-16,0.22057649126697887,0.04584850864574831
20,2303,1.8431065913702095e-14,1.0914736950583801e-15,0.22057649126697887,0.04584850864574831
21,2303,7.321273136314633e-15,4.150037037074384e-16,0.22057649126697887,0.04584850864574831
22,2303,-8.16509455512677e-15,4.794782089792597e-16,0.22057649126697887,0.04584850864574831
23,2303,8.949526996684388e-15,4.885174706078626e-16,0.22057649126697887,0.04584850864574831
24,2303,1.9641290386374463e-15,1.2631589777359508e-16,0.22057649126697887,0.04584850864574831
25,2303,3.9262304334534136e-15,2.138340390643048e-16,0.22057649126697887,0.04584850864574831
26,2303,1.1031792792854653e-14,6.32492951202277e-16,0.22057649126697887,0.04584850864574831
27,2303,-5.3800118341614015e-15,3.044551952224469e-16,0.22057649126697887,0.04584850864574831
28,2303,5.050028019068085e-15,2.6001050831133867e-16,0.22057649126697887,0.04584850864574831
29,2303,-4.116625332827587e-16,8.824768377117175e-17,0.22057649126697887,0.04584850864574831
30,2303,1.6750400051384823e-15,9.305589077445374e-17,0.22057649126697887,0.04584850864574831
31,2303,-1.0977655748582664e-16,1.573782170205397e-17,0.22057649126697887,0.04584850864574831
